Entrez Gene Id	Symbol
117144	CATSPER1
54205	CYCS
79720	VPS37B
23645	PPP1R15A
11319	ECD
5300	PIN1
1911	PHC1
1649	DDIT3
1876	E2F6
5590	PRKCZ
83637	ZMIZ2
5925	RB1
5452	POU2F2
83596	BCL2L12
2885	GRB2
5601	MAPK9
160140	C11orf65
55738	ARFGAP1
3313	HSPA9
1054	CEBPG
10059	DNM1L
901	CCNG2
7132	TNFRSF1A
23770	FKBP8
286514	MAGEB18
57819	LSM2
26092	TOR1AIP1
1164	CKS2
23493	HEY2
7251	TSG101
5859	QARS
3603	IL16
598	BCL2L1
5347	PLK1
5359	PLSCR1
3091	HIF1A
90678	LRSAM1
2534	FYN
309	ANXA6
2697	GJA1
3005	H1F0
26354	GNL3
6672	SP100
56911	C21orf7
27332	ZNF638
8863	PER3
11033	CENTA1
5465	PPARA
23650	TRIM29
10477	UBE2E3
9319	TRIP13
55165	CEP55
5524	PPP2R4
1936	EEF1D
7417	VDAC2
89797	NAV2
3164	NR4A1
6446	SGK
7067	THRA
26150	RIBC2
7326	UBE2G1
1639	DCTN1
10743	RAI1
54843	SYTL2
51160	VPS28
665	BNIP3L
10376	TUBA1B
862	RUNX1T1
6759	SSX4
79843	FAM124B
4176	MCM7
9600	PITPNM1
23658	LSM5
57821	C1orf114
1615	DARS
9618	TRAF4
9908	G3BP2
302	ANXA2
79036	C19orf50
23228	PLCL2
25788	RAD54B
2068	ERCC2
22806	IKZF3
358	AQP1
207	AKT1
3001	GZMA
1647	GADD45A
3337	DNAJB1
128866	CHMP4B
3190	HNRPK
5371	PML
57142	RTN4
6772	STAT1
7597	ZBTB25
5663	PSEN1
9246	UBE2L6
5108	PCM1
4595	MUTYH
23411	SIRT1
11201	POLI
4088	SMAD3
11267	SNF8
7027	TFDP1
8878	SQSTM1
7088	TLE1
22893	BAHD1
10248	POP7
7991	TUSC3
2670	GFAP
9372	ZFYVE9
1454	CSNK1E
93487	C14orf32
10912	GADD45G
2237	FEN1
5883	RAD9A
2810	SFN
2113	ETS1
23386	NUDCD3
2553	GABPB2
2768	GNA12
4331	MNAT1
27258	LSM3
3428	IFI16
5914	RARA
30008	EFEMP2
5932	RBBP8
10953	TOMM34
6195	RPS6KA1
896	CCND3
7704	ZBTB16
5757	PTMA
3312	HSPA8
1877	E4F1
1857	DVL3
3932	LCK
8900	CCNA1
5236	PGM1
54433	NOLA1
26508	HEYL
6277	S100A6
4001	LMNB1
1316	KLF6
81628	TSC22D4
1602	DACH1
23085	ERC1
572	BAD
2035	EPB41
8837	CFLAR
2288	FKBP4
10539	TXNL2
1263	PLK3
4591	TRIM37
801	CALM1
23062	GGA2
900	CCNG1
8575	PRKRA
1482	NKX2-5
3838	KPNA2
10273	STUB1
5894	RAF1
204851	HIPK1
332	BIRC5
57088	PLSCR4
6256	RXRA
3146	HMGB1
84708	LNX1
84894	LINGO1
114790	STK11IP
638	BIK
5928	RBBP4
58500	ZNF250
8907	AP1M1
3148	HMGB2
284403	WDR62
3329	HSPD1
6794	STK11
6418	SET
84289	ING5
6602	SMARCD1
811	CALR
9883	POM121
29883	CNOT7
5705	PSMC5
79753	SNIP1
578	BAK1
6776	STAT5A
5905	RANGAP1
3198	HOXA1
64754	SMYD3
6285	S100B
6304	SATB1
6615	SNAI1
80125	CCDC33
6774	STAT3
55367	LRDD
7416	VDAC1
983	CDC2
26036	ZNF451
2353	FOS
79173	C19orf57
467	ATF3
151871	DPPA2
10919	EHMT2
27301	APEX2
902	CCNH
7184	HSP90B1
8027	STAM
408	ARRB1
9314	KLF4
3087	HHEX
1173	AP2M1
114822	RHPN1
6613	SUMO2
7186	TRAF2
1432	MAPK14
4830	NME1
328	APEX1
6241	RRM2
79370	BCL2L14
5770	PTPN1
5579	PRKCB1
5451	POU2F1
3855	KRT7
84528	PEPP-2
84528	PEPP2
84528	esxr1
23640	HSPBP1
23640	hspbp2
3329	HSPD1
51246	SCOTIN
23075	SWAP70
23075	HSPC321
23075	SWAP-70
23075	FLJ39540
23075	KIAA0640
23075	ibp
89797	NAV2
3855	KRT7
92610	TIFA
92610	T2BP
92610	MGC20791
92610	tmp_locus_4
79869	FLJ12529
79869	MGC9315
79869	FLJ39024
79869	cpsf7
7917	BAT3
3183	HNRPC
6477	SIAH1
6613	SUMO2
9747	KIAA0738
3611	-
